Student Number,Female,socioeconomicstrata_round1,children5years_r1,everhadsex_r1,howmanysexpartners_r1,usedrythm_pregn_r1,usedpill_pregn_r1,usedinjection_pregn_r1,usedIUD_pregn_r1,usedcondom_pregn_r1,usedwithdraw_pregn_r1,usedemergency_pregn_r1,usedother_pregn_r1,rythmsafest_pregnancy_r1,pillsafest_pregnancy_r1,injectionsafest_pregnancy_r1,hygienesafest_pregnancy_r1,condomsafest_pregnancy_r1,withdrawalsafest_pregnancy_r1,emergencypsafest_pregnancy_r1,abstinencesafest_pregnancy_r1,other_pregnancy_r1,whichone_pregnancy_r1,dontknow_pregnancy_r1,peopleathome_r1,motherliveathome_r1,educationmother_r1,fatherliveathome_r1,educationfather_r1,whichone1_r1
772,Male,3,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,4,Yes,High School,Yes,High School,PASTILLAS ANTICONCEPTIVAS
773,Female,5,Yes,Yes,1 person,Yes,No,No,No,Yes,Yes,No,Invalid answer,No,Yes,Yes,Yes,Yes,No,No,No,No,,No,7,Yes,Elementary School,No,Elementary School,CUIDARSE
774,Male,3,No,Yes,1 person,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,No,4,Yes,Elementary School,Yes,Elementary School,CONDON
775,Male,2,I don't know,Yes,1 person,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,4,Yes,College,Yes,College,CONDON
776,Male,2,No,Yes,1 person,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,4,Yes,Elementary School,Yes,None,PLANIFICAR
777,Male,2,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,6,Yes,High School,Yes,Elementary School,CONDON
778,Female,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,,No,8,Yes,Elementary School,I don't have any,No answer,INYECCION
779,Female,I don't know,I don't know,No,I have never had sexual relations,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No,No,No,No,No,No,Yes,No,,No,7,Yes,Elementary School,No,No answer,CONDON
780,Male,2,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,Yes,7,Yes,High School,Yes,High School,CONDON
781,Male,1,No,Yes,1 person,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,No,7,Yes,High School,Yes,High School,CONDON
782,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,Yes,13,Yes,Elementary School,No,No answer,CONDON
783,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,,No,10,Yes,High School,Yes,Elementary School,OPERACION
784,Female,1,No,No answer,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,4,Yes,High School,Yes,Elementary School,PASTILLAS ANTICONCEPTIVAS
785,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,15,Yes,Elementary School,Yes,High School,CONDON
786,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,,No,4,Yes,High School,No,Elementary School,CONDON
787,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,,No,8,Yes,High School,No,High School,PASTILLAS ANTICONCEPTIVAS
788,Female,1,No,Yes,1 person,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,,No,8,Yes,Postgraduate,I don't have any,No answer,PASTILLAS ANTICONCEPTIVAS
789,Male,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,,No,10,Yes,Elementary School,Is dead,High School,PROTEGERSE
790,Male,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,,No,4,Yes,High School,No,College,PASTILLAS ANTICONCEPTIVAS
791,Male,2,Yes,Yes,1 person,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,5,Yes,Elementary School,Yes,Elementary School,CUIDARSE
793,Female,I don't know,No answer,Yes,1 person,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,No,4,Yes,High School,Yes,High School,INYECCION
794,Male,Invalid answer,No,Yes,2-5 people,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,,No,5,Yes,High School,Yes,Elementary School,CONDON
795,Male,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,6,Yes,High School,Yes,High School,PROTEGERSE
796,Female,1,I don't know,Yes,1 person,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,,No,5,Yes,Elementary School,Yes,High School,CONDON
797,Female,1,No answer,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,2,Yes,College,Is dead,College,CONDON
798,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,4,Yes,Elementary School,Yes,High School,PASTILLAS ANTICONCEPTIVAS
799,Male,3,No,Yes,6-10 people,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,,No,3,Yes,High School,No,High School,CONDON
800,Male,Invalid answer,No,Yes,For the last six months I have not had sexual relations,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,Yes,Yes,No,Yes,Yes,No,No,No,,No,7,Yes,Elementary School,No,Elementary School,IMPLANTE SUBDERMIDO
801,Female,I don't know,No,No answer,No answer,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,,No,4,Yes,High School,Yes,High School,PASTILLAS ANTICONCEPTIVAS
802,Male,6,I don't know,Yes,1 person,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,7,Yes,None,Yes,None,CONDON
803,Male,1,No,Yes,2-5 people,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,4,Yes,High School,No,Elementary School,CONDON
804,Male,1,I don't know,Yes,1 person,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,5,I don't have any,No answer,I don't have any,No answer,CONDON
806,Female,No answer,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,No,5,Yes,High School,No,High School,CONDON
807,Female,No answer,No,Yes,1 person,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,5,Yes,No answer,Yes,University,PLANIFICAR
808,Female,1,No answer,Yes,1 person,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,4,Yes,None,Yes,Elementary School,CONDON
809,Male,1,I don't know,No,For the last six months I have not had sexual relations,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,,No,5,Yes,High School,Yes,High School,ABSTENCION
810,Male,1,Yes,No,For the last six months I have not had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,,No,6,Yes,High School,Yes,High School,CONDON
811,Male,1,No,Yes,1 person,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,,No,6,Yes,Elementary School,Yes,Elementary School,PLANIFICAR
812,Female,1,No,Yes,6-10 people,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,,No,7,Yes,Elementary School,Yes,High School,IMPLANTE SUBDERMIDO
813,Female,2,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,No,5,Yes,Elementary School,Yes,Elementary School,DISPOSITIVO INTRAUTERINO
814,Male,2,No,Yes,1 person,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,7,Yes,Elementary School,Yes,High School,CONDON
815,Male,2,I don't know,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,Yes,Yes,No,No,No,No,No,No,,No,4,Yes,High School,Yes,University,PASTILLAS ANTICONCEPTIVAS
816,Female,1,No answer,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,7,Yes,High School,Yes,High School,CONDON
817,Male,1,No answer,Yes,6-10 people,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,5,Yes,No answer,I don't have any,High School,PASTILLAS ANTICONCEPTIVAS
818,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,,No,5,Yes,Elementary School,Yes,Elementary School,CONDON
820,Female,I don't know,I don't know,Yes,1 person,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,3,Yes,High School,Yes,Elementary School,CONDON
821,Female,1,I don't know,Yes,1 person,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,,No,5,No,Elementary School,Is dead,No answer,IMPLANTE SUBDERMIDO
822,Female,Invalid answer,Yes,Yes,1 person,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,,No,4,Yes,Elementary School,No,High School,PLANIFICAR
823,Female,2,No answer,Yes,1 person,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,No,5,Yes,High School,I don't have any,Elementary School,CONDON
824,Male,2,No,Yes,2-5 people,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,,No,3,Yes,Elementary School,Yes,Elementary School,CONDON
825,Male,3,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,,No,5,Yes,Elementary School,Yes,Elementary School,CONDON
827,Male,I don't know,I don't know,Yes,1 person,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,No,8,Yes,High School,Yes,High School,PLANIFICAR
828,Male,I don't know,No,Yes,More than 10 people,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,11,Yes,High School,Yes,Elementary School,CONDON
829,Male,2,Yes,Yes,1 person,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,5,Yes,College,No,Elementary School,IMPLANTE SUBDERMIDO
830,Male,I don't know,No,Yes,2-5 people,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,,No,4,Yes,High School,Is dead,High School,CONDON
831,Male,2,No,Yes,6-10 people,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,,No,4,Yes,High School,Yes,High School,PLANIFICAR
833,Male,1,No,No,For the last six months I have not had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,,No,6,Yes,Elementary School,Yes,High School,IMPLANTE SUBDERMIDO
834,Female,1,No,Yes,1 person,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,,No,3,Yes,Elementary School,Yes,Elementary School,CONDON
835,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,3,Yes,Postgraduate,Yes,High School,IMPLANTE SUBDERMIDO
836,Female,I don't know,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,4,Yes,College,Yes,Elementary School,CONDON
837,Female,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,,No,7,Yes,No answer,Yes,No answer,PLANIFICAR
838,Female,2,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,No,4,Yes,High School,Yes,High School,IMPLANTE SUBDERMIDO
839,Female,1,No,Yes,1 person,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,6,Yes,Elementary School,Yes,High School,PLANIFICAR
840,Female,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,,No,4,Yes,High School,Yes,High School,PASTILLAS ANTICONCEPTIVAS
841,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,4,Yes,Elementary School,Yes,Elementary School,CONDON
842,Female,I don't know,I don't know,No,No answer,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,,No,18,Yes,Elementary School,Yes,No answer,CONDON
843,Female,1,I don't know,Yes,1 person,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,,No,4,Yes,High School,Yes,No answer,CONDON
845,Male,4,No answer,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,6,Yes,Elementary School,Yes,High School,CONDON
846,Female,1,No,No,No answer,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,4,Yes,High School,No,College,CONDON
848,Female,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,7,Invalid answer,High School,No answer,No answer,PLANIFICAR
849,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,,No,10,Yes,Elementary School,Yes,Elementary School,PASTILLAS ANTICONCEPTIVAS
850,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,5,Yes,Elementary School,Yes,Elementary School,PLANIFICAR
851,Female,1,I don't know,Yes,For the last six months I have not had sexual relations,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,No,4,Yes,High School,I don't have any,No answer,CONDON
852,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,,No,9,Yes,Elementary School,Yes,Elementary School,INYECCION
853,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,,No,7,Yes,Elementary School,Yes,Elementary School,METODOS ANTICONCEPTIVOS
854,Female,2,No,Yes,1 person,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,,No,5,Yes,Elementary School,Yes,High School,CONDON
855,Female,I don't know,I don't know,Yes,For the last six months I have not had sexual relations,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,,No,10,No,No answer,I don't have any,No answer,IMPLANTE SUBDERMIDO
856,Female,2,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,No,5,Yes,High School,Yes,Postgraduate,IMPLANTE SUBDERMIDO
857,Female,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,,No,5,Yes,None,Yes,None,PASTILLAS ANTICONCEPTIVAS
858,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,,No,4,Yes,Elementary School,No,Elementary School,IMPLANTE SUBDERMIDO
859,Female,I don't know,No answer,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,,No,4,Yes,College,No,High School,CONDON
860,Female,I don't know,Yes,Yes,2-5 people,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,5,Yes,Elementary School,I don't have any,No answer,IMPLANTE SUBDERMIDO
861,Female,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,4,Yes,Elementary School,Yes,Elementary School,ABSTENCION
862,Female,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,,Yes,5,Yes,Elementary School,Yes,Elementary School,CONDON
863,Female,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,3,Yes,High School,Yes,University,IMPLANTE SUBDERMIDO
864,Female,I don't know,No answer,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,4,No,None,No,None,PASTILLAS ANTICONCEPTIVAS
865,Male,2,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,,Yes,5,Yes,High School,Yes,Elementary School,CONDON
866,Male,2,No answer,Yes,1 person,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,5,Yes,Elementary School,Yes,Elementary School,CONDON
867,Male,2,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,4,No,Elementary School,Yes,Elementary School,CONDON
868,Male,1,I don't know,Yes,1 person,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,,No,8,Yes,Elementary School,Yes,High School,CONDON
869,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,Yes,6,Yes,Elementary School,Is dead,Elementary School,CONDON
871,Male,1,No answer,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,7,No,No answer,No,High School,CONDON
872,Male,2,I don't know,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,,No answer,8,Yes,No answer,Yes,High School,CONDON
873,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,,No,7,Yes,High School,No,High School,INYECCION
874,Female,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,,Yes,5,Yes,High School,Yes,College,PLANIFICAR
875,Female,1,No,Yes,1 person,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,LA PILA,No,4,Yes,Elementary School,Yes,High School,IMPLANTE SUBDERMIDO
876,Male,I don't know,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,,No,8,Yes,High School,Yes,High School,CONDON
877,Male,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,4,Yes,Elementary School,Yes,High School,CONDON
878,Male,1,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,,No,4,Yes,No answer,Yes,University,ABSTENCION
879,Female,2,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,,No,5,Yes,College,I don't have any,No answer,CONDON
880,Male,2,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,6,Yes,Elementary School,Yes,Elementary School,METODOS ANTICONCEPTIVOS
881,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,,No,4,Yes,High School,Yes,High School,CONDON
883,Male,1,No answer,Yes,For the last six months I have not had sexual relations,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,3,Yes,Elementary School,Yes,High School,CONDON
884,Female,2,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,,No,5,Yes,High School,Yes,High School,CONDON
885,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,12,Yes,High School,Yes,Elementary School,QUE LA PAREJA SE PROTEJA
886,Female,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,,No,4,Yes,High School,Yes,High School,CONDON
887,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,6,Yes,Elementary School,Yes,Elementary School,PROTEGERSE
888,Female,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,6,Yes,High School,Yes,High School,ABSTENCION
889,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,,No,5,Yes,Elementary School,Yes,None,CONDON
890,Male,1,No,Yes,2-5 people,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,7,Yes,College,No,None,NO SE
891,Male,I don't know,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,6,Yes,Elementary School,Yes,Elementary School,CONDON
892,Male,2,No,Yes,1 person,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,,No,4,Yes,Elementary School,Yes,High School,NO SE
893,Male,2,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,,No,6,Yes,High School,Yes,High School,CONDON
894,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,8,Yes,Elementary School,No answer,High School,CONDON
895,Male,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,5,Yes,Elementary School,Yes,Elementary School,CONDON
896,Male,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,4,Yes,High School,No,High School,CONDON
897,Male,I don't know,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,,No,5,Invalid answer,High School,Invalid answer,Elementary School,CONDON
899,Male,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,15,Yes,Elementary School,Yes,Elementary School,CONDON
901,Male,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,,No,4,Yes,Elementary School,Yes,Elementary School,CONDON
902,Male,1,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,,No,5,Yes,College,Yes,College,CONDON
903,Male,2,I don't know,Yes,For the last six months I have not had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,,No,4,Yes,College,Yes,College,CONDON
904,Female,6,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,No,21,Yes,None,Yes,None,CONDON
905,Male,Invalid answer,Yes,No,I have never had sexual relations,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,11,Yes,Elementary School,Yes,High School,CONDON
907,Female,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,,No,5,Yes,High School,No,Elementary School,CONDON
908,Female,1,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,8,No,High School,No,Elementary School,CONDON
909,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,,No,7,No,High School,No,Elementary School,CONDON
910,Male,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,,No,8,Yes,High School,Yes,High School,CONDON
911,Female,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,11,Yes,None,Yes,None,ABSTENCION
912,Male,I don't know,I don't know,Yes,1 person,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No,No,No,No,No,No,No,No,,Yes,1,Yes,Elementary School,Yes,Elementary School,NO SE
913,Male,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,3,Yes,High School,Yes,High School,CONDON
914,Male,1,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,5,Yes,High School,Yes,High School,PROTEGERSE
916,Female,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,,No,8,Yes,None,Yes,Postgraduate,PASTILLAS ANTICONCEPTIVAS
917,Male,1,I don't know,No,For the last six months I have not had sexual relations,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,,No answer,10,Invalid answer,None,Invalid answer,None,CONDON
918,Female,2,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,,No,6,Yes,High School,Yes,Postgraduate,CONDON
919,Female,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,,No,3,No,Elementary School,No,Elementary School,PASTILLAS ANTICONCEPTIVAS
920,Female,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,,No,6,Yes,College,No,College,CONDON
921,Female,Invalid answer,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,8,Yes,Elementary School,Yes,University,CONDON
922,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,5,Yes,High School,Yes,High School,ABSTENCION
923,Male,1,No,Yes,1 person,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,,No,5,No,High School,No,Elementary School,OPERACION
924,Male,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,7,Yes,High School,No,High School,CONDON
926,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,,No,5,Yes,College,Yes,College,CONDON
927,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,4,Yes,High School,Yes,None,CONDON
928,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,9,Yes,High School,Yes,None,CONDON
929,Female,I don't know,Yes,Yes,1 person,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,,No,6,Yes,Elementary School,Yes,None,CONDON
